srcid,destid,Day,Month,DayM_cumsum_seatcount,DayM_cumsum_searchcount
1,2,1,1,61.4516129,3416.693548
1,2,1,2,24.59677419,1055.483871
1,2,1,3,55.72580645,1482.096774
1,2,1,4,71.29032258,2558.064516
1,2,1,5,110.8870968,3646.209677
1,2,1,6,77.17741935,2780.725806
1,2,1,7,76.37096774,2494.032258
1,2,1,8,44.75806452,1451.290323
1,2,1,9,66.4516129,2644.677419
1,2,1,10,62.82258065,2292.903226
1,2,1,11,48.9516129,2466.854839
1,2,1,12,65.80645161,3389.758065
1,2,2,1,42.41935484,2842.33871
1,2,2,2,29.91935484,1101.129032
1,2,2,3,55.72580645,1274.758065
1,2,2,4,69.11290323,2558.306452
1,2,2,5,76.77419355,3337.096774
1,2,2,6,87.82258065,2881.854839
1,2,2,7,81.0483871,2480.322581
1,2,2,8,43.46774194,1280.967742
1,2,2,9,57.74193548,2378.790323
1,2,2,10,79.75806452,3778.467742
1,2,2,11,83.30645161,5658.387097
1,2,2,12,60.40322581,2926.370968
1,2,3,1,39.11290323,2432.016129
1,2,3,2,30.24193548,1155.483871
1,2,3,3,75.64516129,1845.080645
1,2,3,4,58.30645161,2027.5
1,2,3,5,76.29032258,2804.193548
1,2,3,6,86.53225806,2970.403226
1,2,3,7,63.30645161,1985.16129
1,2,3,8,51.12903226,1421.451613
1,2,3,9,78.46774194,3034.596774
1,2,3,10,53.14516129,2498.629032
1,2,3,11,203.0645161,15214.03226
1,2,3,12,70.88709677,3148.387097
1,2,4,1,35.48387097,1707.258065
1,2,4,2,42.09677419,1503.870968
1,2,4,3,66.53225806,1513.951613
1,2,4,4,58.38709677,1629.677419
1,2,4,5,81.4516129,2734.354839
1,2,4,6,75.72580645,3003.387097
1,2,4,7,52.01612903,1712.016129
1,2,4,8,60.16129032,1717.983871
1,2,4,9,60.24193548,2812.822581
1,2,4,10,50.72580645,1911.854839
1,2,4,11,159.1129032,13108.46774
1,2,4,12,54.75806452,2469.677419
1,2,5,1,47.98387097,1947.580645
1,2,5,2,31.85483871,1114.112903
1,2,5,3,70.88709677,1743.064516
1,2,5,4,61.61290323,1722.33871
1,2,5,5,79.59677419,3072.016129
1,2,5,6,73.9516129,2555.645161
1,2,5,7,58.22580645,1426.693548
1,2,5,8,55.96774194,1673.548387
1,2,5,9,62.66129032,2412.580645
1,2,5,10,44.27419355,1391.370968
1,2,5,11,148.7096774,11195.96774
1,2,5,12,60.88709677,2682.580645
1,2,6,1,48.9516129,1945.241935
1,2,6,2,22.66129032,889.9193548
1,2,6,3,43.5483871,1371.774194
1,2,6,4,67.17741935,1873.064516
1,2,6,5,81.61290323,2717.66129
1,2,6,6,55,2270.241935
1,2,6,7,64.67741935,1883.951613
1,2,6,8,71.12903226,1840.806452
1,2,6,9,47.90322581,2136.612903
1,2,6,10,57.09677419,1781.693548
1,2,6,11,80.64516129,7715.967742
1,2,6,12,59.67741935,2575.080645
1,2,7,1,46.29032258,2280.725806
1,2,7,2,24.51612903,748.2258065
1,2,7,3,57.58064516,2045.322581
1,2,7,4,65.24193548,2020.967742
1,2,7,5,89.51612903,2898.790323
1,2,7,6,64.59677419,2239.032258
1,2,7,7,98.06451613,2415.080645
1,2,7,8,49.83870968,1377.903226
1,2,7,9,43.5483871,1888.790323
1,2,7,10,42.17741935,1420.241935
1,2,7,11,65.32258065,6123.870968
1,2,7,12,73.22580645,2816.209677
1,2,8,1,37.17741935,2000.967742
1,2,8,2,24.51612903,807.9032258
1,2,8,3,57.5,1695.16129
1,2,8,4,62.74193548,1810.403226
1,2,8,5,70.56451613,2304.032258
1,2,8,6,77.82258065,2478.467742
1,2,8,7,63.79032258,1880.16129
1,2,8,8,53.46774194,1500.16129
1,2,8,9,89.19354839,3101.048387
1,2,8,10,44.19354839,1451.129032
1,2,8,11,88.9516129,7006.048387
1,2,8,12,82.98387097,3338.064516
1,2,9,1,27.33870968,1603.709677
1,2,9,2,26.4516129,1068.548387
1,2,9,3,63.87096774,1950.241935
1,2,9,4,92.41935484,2796.048387
1,2,9,5,68.79032258,2093.064516
1,2,9,6,78.9516129,2756.209677
1,2,9,7,82.33870968,2250.080645
1,2,9,8,61.61290323,1744.516129
1,2,9,9,62.25806452,2248.145161
1,2,9,10,31.69354839,1064.354839
1,2,9,11,116.2903226,8617.33871
1,2,9,12,68.79032258,2594.354839
1,2,10,1,22.33870968,1170.483871
1,2,10,2,34.35483871,1072.66129
1,2,10,3,74.03225806,2525.483871
1,2,10,4,60.32258065,2125.241935
1,2,10,5,61.61290323,2443.951613
1,2,10,6,72.82258065,2257.741935
1,2,10,7,59.19354839,1705.645161
1,2,10,8,54.83870968,1611.532258
1,2,10,9,66.4516129,2324.516129
1,2,10,10,36.12903226,1236.854839
1,2,10,11,83.5483871,9468.306452
1,2,10,12,88.62903226,2837.096774
1,2,11,1,17.5,1152.177419
1,2,11,2,42.25806452,1478.467742
1,2,11,3,74.59677419,2197.983871
1,2,11,4,49.11290323,1667.016129
1,2,11,5,71.69354839,2616.854839
1,2,11,6,77.98387097,2584.516129
1,2,11,7,50.24193548,1693.467742
1,2,11,8,72.17741935,2550.645161
